Points_Magnitude,c
0.10175,0.0103615
0.102,0.0103666
0.10225,0.0103716
0.1025,0.0103767
0.10275,0.0103818
0.103,0.0103868
0.10325,0.0103919
0.1035,0.010397
0.10375,0.010402
0.104,0.0104071
0.10425,0.0104122
0.1045,0.0104172
0.10475,0.0104223
0.105,0.0104273
0.10525,0.0104324
0.1055,0.0104375
0.10575,0.0104429
0.106,0.0104494
0.10625,0.010456
0.1065,0.0104625
0.10675,0.010469
0.107,0.0104755
0.10725,0.010482
0.1075,0.0104886
0.10775,0.0104951
0.108,0.0105016
0.10825,0.0105081
0.1085,0.0105147
0.10875,0.0105212
0.109,0.0105277
0.10925,0.0105342
0.1095,0.0105407
0.10975,0.0105473
0.11,0.0105538
0.11025,0.0105603
0.1105,0.0105671
0.11075,0.0105746
0.111,0.0105821
0.11125,0.0105896
0.1115,0.0105972
0.11175,0.0106047
0.112,0.0106122
0.11225,0.0106197
0.1125,0.0106273
0.11275,0.0106348
0.113,0.0106423
0.11325,0.0106498
0.1135,0.0106574
0.11375,0.0106649
0.114,0.0106724
0.11425,0.0106799
0.1145,0.0106875
0.11475,0.010695
0.115,0.0107025
0.11525,0.01071
0.1155,0.0107176
0.11575,0.0107251
0.116,0.0107326
0.11625,0.0107402
0.1165,0.0107477
0.11675,0.0107552
0.117,0.0107627
0.11725,0.0107703
0.1175,0.0107778
0.11775,0.0107853
0.118,0.0107928
0.11825,0.0108004
0.1185,0.0108079
0.11875,0.0108154
0.119,0.0108229
0.11925,0.0108305
0.1195,0.010838
0.11975,0.0108455
0.12,0.010853
0.12025,0.0108606
0.1205,0.0108681
0.12075,0.0108756
0.121,0.0108832
0.12125,0.0108907
0.1215,0.0108982
0.12175,0.0109057
0.122,0.0109133
0.12225,0.0109208
0.1225,0.0109283
0.12275,0.0109358
0.123,0.0109434
0.12325,0.0109509
0.1235,0.0109584
0.12375,0.0109659
0.124,0.0109735
0.12425,0.010981
0.1245,0.0109885
0.12475,0.010996
0.125,0.0110036
0.12525,0.0110111
0.1255,0.0110186
0.12575,0.0110262
0.126,0.0110337
0.12625,0.0110412
0.1265,0.0110529
0.12675,0.0110708
0.127,0.0110888
0.12725,0.0111068
0.1275,0.0111247
0.12775,0.0111427
0.128,0.0111607
0.12825,0.0111786
0.1285,0.0111966
0.12875,0.0112146
0.129,0.0112325
0.12925,0.0112505
0.1295,0.0112685
0.12975,0.0112864
0.13,0.0113044
0.13025,0.0113224
0.1305,0.0113403
0.13075,0.0113583
0.131,0.0113763
0.13125,0.0113942
0.1315,0.0114122
0.13175,0.0114302
0.132,0.0114481
0.13225,0.0114661
0.1325,0.0114841
0.13275,0.0115021
0.133,0.01152
0.13325,0.011538
0.1335,0.011556
0.13375,0.0115739
0.134,0.0115919
0.13425,0.0116099
0.1345,0.0116278
0.13475,0.0116458
0.135,0.0116638
0.13525,0.0116817
0.1355,0.0116997
0.13575,0.0117177
0.136,0.0117356
0.13625,0.0117536
0.1365,0.0117716
0.13675,0.0117895
0.137,0.0118075
0.13725,0.0118255
0.1375,0.0118434
0.13775,0.0118614
0.138,0.0118794
0.13825,0.0118973
0.1385,0.0119153
0.13875,0.0119333
0.139,0.0119512
0.13925,0.0119692
0.1395,0.0119872
0.13975,0.0120051
0.14,0.0120231
0.14025,0.0120411
0.1405,0.012059
0.14075,0.012077
0.141,0.012095
0.14125,0.012113
0.1415,0.0121309
0.14175,0.0121489
0.142,0.0121669
0.14225,0.0121848
0.1425,0.0122028
0.14275,0.0122208
0.143,0.0122387
0.14325,0.0122567
0.1435,0.0122747
0.14375,0.0122926
0.144,0.0123106
0.14425,0.0123286
0.1445,0.0123465
0.14475,0.0123645
0.145,0.0123825
0.14525,0.0124004
0.1455,0.0124184
0.14575,0.0124364
0.146,0.0124543
0.14625,0.0124723
0.1465,0.0124903
0.14675,0.0125082
0.147,0.0125262
0.14725,0.0125442
0.1475,0.0125621
0.14775,0.0125801
0.148,0.0125981
0.14825,0.012616
0.1485,0.012634
0.14875,0.012652
0.149,0.01267
0.14925,0.0126879
0.1495,0.0127059
0.14975,0.0127239
0.15,0.0127418
0.15025,0.0127598
0.1505,0.0127778
0.15075,0.0127957
0.151,0.0128137
0.15125,0.0128317
0.1515,0.0128496
0.15175,0.0128676
0.152,0.0128856
0.15225,0.0129035
0.1525,0.0129215
0.15275,0.0129395
0.153,0.0129574
0.15325,0.0129754
0.1535,0.0129934
0.15375,0.0130113
0.154,0.0130293
0.15425,0.0130473
0.1545,0.0130652
0.15475,0.0130832
0.155,0.0131012
0.15525,0.0131191
0.1555,0.0131371
0.15575,0.0131551
0.156,0.013173
0.15625,0.013191
0.1565,0.013209
0.15675,0.0132269
0.157,0.0132449
0.15725,0.0132629
0.1575,0.0132809
0.15775,0.0132988
0.158,0.0133168
0.15825,0.0133348
0.1585,0.0133527
0.15875,0.0133707
0.159,0.0133887
0.15925,0.0134066
0.1595,0.0134246
0.15975,0.0134426
0.16,0.0134605
0.16025,0.0134785
0.1605,0.0134965
0.16075,0.0135144
0.161,0.0135324
0.16125,0.0135504
0.1615,0.0135683
0.16175,0.0135863
0.162,0.0136043
0.16225,0.0136222
0.1625,0.0136402
0.16275,0.0136582
0.163,0.0136761
0.16325,0.0136941
0.1635,0.0137121
0.16375,0.01373
0.164,0.013748
0.16425,0.013766
0.1645,0.0137839
0.16475,0.0138019
0.165,0.0138199
0.16525,0.0138378
0.1655,0.0138558
0.16575,0.0138738
0.166,0.0138918
0.16625,0.0139097
0.1665,0.0139277
0.16675,0.0139457
0.167,0.0139636
0.16725,0.0139816
0.1675,0.0139996
0.16775,0.0140175
0.168,0.0140355
0.16825,0.0140535
0.1685,0.0140714
0.16875,0.0140894
0.169,0.0141074
0.16925,0.0141253
0.1695,0.0141433
0.16975,0.0141613
0.17,0.0141792
0.17025,0.0141972
0.1705,0.0142152
0.17075,0.0142331
0.171,0.0142511
0.17125,0.0142691
0.1715,0.014287
0.17175,0.014305
0.172,0.014323
0.17225,0.0143409
0.1725,0.0143589
0.17275,0.0143769
0.173,0.0143948
0.17325,0.0144128
0.1735,0.0144308
0.17375,0.0144488
0.174,0.0144667
0.17425,0.0144847
0.1745,0.0145027
0.17475,0.0145206
0.175,0.0145386
0.17525,0.0145566
0.1755,0.0145745
0.17575,0.0145925
0.176,0.0146105
0.17625,0.0146284
0.1765,0.0146464
0.17675,0.0146644
0.177,0.0146823
0.17725,0.0147003
0.1775,0.0147183
0.17775,0.0147362
0.178,0.0147542
0.17825,0.0147722
0.1785,0.0147901
0.17875,0.0148081
0.179,0.0148261
0.17925,0.014844
0.1795,0.014862
0.17975,0.01488
0.18,0.0148979
