Points_Magnitude,c
0.17625,0.729244
0.1765,0.72946
0.17675,0.729676
0.177,0.729893
0.17725,0.730109
0.1775,0.730326
0.17775,0.730542
0.178,0.730758
0.17825,0.730975
0.1785,0.731191
0.17875,0.731407
0.179,0.731624
0.17925,0.73184
0.1795,0.732057
0.17975,0.732273
0.18,0.732489
0.18025,0.732706
0.1805,0.732922
0.18075,0.733138
0.181,0.733355
0.18125,0.733571
0.1815,0.733787
0.18175,0.734004
0.182,0.73422
0.18225,0.734437
0.1825,0.734653
0.18275,0.734869
0.183,0.735086
0.18325,0.735302
0.1835,0.735518
0.18375,0.735735
0.184,0.735951
0.18425,0.736168
0.1845,0.736384
0.18475,0.7366
0.185,0.736817
0.18525,0.737033
0.1855,0.737249
0.18575,0.737466
0.186,0.737682
0.18625,0.737898
0.1865,0.738115
0.18675,0.738331
0.187,0.738548
0.18725,0.738764
0.1875,0.73898
0.18775,0.739197
0.188,0.739413
0.18825,0.739629
0.1885,0.739846
0.18875,0.740062
0.189,0.740279
0.18925,0.740495
0.1895,0.740711
0.18975,0.740928
0.19,0.741144
0.19025,0.74136
0.1905,0.741577
0.19075,0.741793
0.191,0.742009
0.19125,0.742226
0.1915,0.742442
0.19175,0.742659
0.192,0.742875
0.19225,0.743091
0.1925,0.743308
0.19275,0.743524
0.193,0.74374
0.19325,0.743957
0.1935,0.744173
0.19375,0.74439
0.194,0.744606
0.19425,0.744822
0.1945,0.745039
0.19475,0.745255
0.195,0.745471
0.19525,0.745688
0.1955,0.745904
0.19575,0.74612
0.196,0.746337
0.19625,0.746553
0.1965,0.74677
0.19675,0.746986
0.197,0.747202
0.19725,0.747419
0.1975,0.747635
0.19775,0.747851
0.198,0.748068
0.19825,0.748284
0.1985,0.748501
0.19875,0.748717
0.199,0.748933
0.19925,0.74915
0.1995,0.749366
0.19975,0.749582
0.2,0.749799
0.20025,0.750015
0.2005,0.750231
0.20075,0.750448
0.201,0.750664
0.20125,0.750881
0.2015,0.751097
0.20175,0.751313
0.202,0.75153
0.20225,0.751746
0.2025,0.751962
0.20275,0.752179
0.203,0.752395
0.20325,0.752612
0.2035,0.752828
0.20375,0.753044
0.204,0.753261
0.20425,0.753477
0.2045,0.753693
0.20475,0.75391
0.205,0.754126
0.20525,0.754342
0.2055,0.754559
0.20575,0.754775
0.206,0.754992
0.20625,0.755208
0.2065,0.755424
0.20675,0.755641
0.207,0.755857
0.20725,0.756073
0.2075,0.75629
0.20775,0.756506
0.208,0.756723
0.20825,0.756939
0.2085,0.757155
0.20875,0.757372
0.209,0.757588
0.20925,0.757804
0.2095,0.758021
0.20975,0.758237
0.21,0.758453
0.21025,0.75867
0.2105,0.758886
0.21075,0.759103
0.211,0.759319
0.21125,0.759535
0.2115,0.759752
0.21175,0.759968
0.212,0.760184
0.21225,0.760401
0.2125,0.760617
0.21275,0.760834
0.213,0.76105
0.21325,0.761266
0.2135,0.761483
0.21375,0.761699
0.214,0.761915
0.21425,0.762132
0.2145,0.762348
0.21475,0.762564
0.215,0.762781
0.21525,0.762997
0.2155,0.763214
0.21575,0.76343
0.216,0.763646
0.21625,0.763863
0.2165,0.764079
0.21675,0.764295
0.217,0.764512
0.21725,0.764728
0.2175,0.764945
0.21775,0.765161
0.218,0.765377
0.21825,0.765594
0.2185,0.76581
0.21875,0.766026
0.219,0.766243
0.21925,0.766459
0.2195,0.766675
0.21975,0.766892
0.22,0.767108
0.22025,0.767325
0.2205,0.767541
0.22075,0.767757
0.221,0.767974
0.22125,0.76819
0.2215,0.768406
0.22175,0.768623
0.222,0.768839
0.22225,0.769056
0.2225,0.769272
0.22275,0.769488
0.223,0.769705
0.22325,0.769921
0.2235,0.770137
0.22375,0.770354
0.224,0.77057
0.22425,0.770786
0.2245,0.771003
0.22475,0.771219
0.225,0.771436
0.22525,0.771652
