t I O O_a
414 0.979947147725549 0.00841 0.003367137372134
415 0.980001236649822 0.008407826086957 0.003561661478771
416 0.980052225289329 0.00931 0.003767283344238
417 0.980100291051422 0.00931 0.00398447629444
418 0.980145601224649 0.00931 0.004213711678234
419 0.980188313552217 0.009307488038278 0.004455598412727
420 0.980228576773381 0.01036 0.004710766796551
421 0.980266531134481 0.010352857142857 0.004979868510059
422 0.980302308871302 0.01336 0.005263586683838
423 0.980336034664331 0.01336 0.005562892997723
424 0.980367826068387 0.01336 0.005878371841188
425 0.980397793918054 0.013355400943396 0.006210794934263
426 0.98042604271025 0.01531 0.006560958351093
427 0.980452670965191 0.015308943661972 0.006929682520072
428 0.980477771566958 0.01576 0.007317812223976
429 0.980501432084801 0.015751565420561 0.007726220647653
430 0.980523735076252 0.01937 0.008155810038831
431 0.98054475837306 0.019365465116279 0.008607493671868
432 0.980564575350916 0.02132 0.009082215507395
433 0.980583255183865 0.021315138888889 0.009580944008792
434 0.980600863084283 0.02342 0.010104672142282
435 0.980617460529204 0.023414124423963 0.010654417377016
436 0.98063310547379 0.02597 0.011231434339742
437 0.98064785255265 0.025966559633028 0.011836861744537
438 0.980661753269701 0.02747 0.012471733544334
439 0.980674856177221 0.027464155251142 0.01313721229446
440 0.980687207044694 0.03003 0.013834488915907
441 0.980698849018035 0.030023181818182 0.014564782695397
442 0.980709822769733 0.03303 0.015329341285431
443 0.980720166640431 0.033024230769231 0.016129811769347
444 0.980729916772422 0.03558 0.016967338631154
445 0.980739107235527 0.035571554054054 0.017843257111535
446 0.980747770145786 0.03933 0.018758964551208
447 0.980755935777359 0.039323251121076 0.019715889126913
448 0.980763632668048 0.04234 0.020715489851449
449 0.980770887718774 0.042331629464286 0.021759256573717
450 0.98077772628737 0.04609 0.02284870997875
451 0.980784172277017 0.046082 0.023984561660951
452 0.980790248219611 0.04969 0.02516848031958
453 0.980795975354367 0.049680685840708 0.026402229706778
454 0.980801373701922 0.0539 0.027687349882683
455 0.9808064621342 0.053890418502203 0.029025404569503
456 0.980811258440271 0.05825 0.030417981151541
457 0.980815779388444 0.058240789473684 0.031866690675216
458 0.980820040784806 0.06245 0.033373167849088
459 0.980824057528399 0.062439170305677 0.034937457336764
460 0.980827843663251 0.06741 0.036560550661795
461 0.980831412427407 0.067398260869565 0.03824492672994
462 0.980834776299172 0.07281 0.039992046380466
463 0.980837947040684 0.072799264069264 0.041803375361556
464 0.980840935739003 0.07777 0.043680384330331
465 0.98084375284484 0.077758362068966 0.045624548852861
466 0.980846408209067 0.08317 0.04763734940418
467 0.980848911117131 0.083157746781116 0.04971917998787
468 0.980851270321501 0.08888 0.051869963852506
469 0.980853494072246 0.088870384615385 0.054092339319748
470 0.980855590145869 0.09338 0.056387536058827
471 0.98085756587248 0.093365617021277 0.058756769528376
472 0.980859428161412 0.10014 0.061201240976435
473 0.980861183525371 0.100126652542373 0.063722137440464
474 0.980862838103202 0.10644 0.066320631747349
475 0.980864397681335 0.106425421940928 0.068997376108663
476 0.980865867714024 0.11335 0.071751437421689
477 0.980867253342406 0.11333518907563 0.074585236326153
478 0.980868559412471 0.1204 0.077499653808687
479 0.980869790492007 0.120385230125523 0.080495539824987
480 0.980870950886569 0.12746 0.083573713299821
481 0.980872044654527 0.12744625 0.086734962127035
482 0.980873075621257 0.13406 0.089980043169559
483 0.980874047392517 0.134041307053942 0.093309569838063
484 0.980874963367053 0.14307 0.09672064513993
485 0.980875826748479 0.143058512396694 0.100215979556305
486 0.980876640556485 0.14863 0.103795899162914
487 0.980877407637388 0.148613641975309 0.107460676778254
488 0.980878130674092 0.15658 0.111210531963594
489 0.980878812195464 0.156564610655738 0.115045631022985
490 0.98087945458518 0.16409 0.118966087003256
491 0.980880060090057 0.164074673469388 0.122971959694024
492 0.980880630827914 0.1716 0.127059546554906
493 0.980881168794974 0.171581707317073 0.131230488066259
494 0.980881675872847 0.1806 0.135484942862269
495 0.980882153835111 0.180582975708502 0.13982250863097
496 0.980882604353513 0.18901 0.144242715629317
497 0.980883029003813 0.18899002016129 0.148745026683179
498 0.9808834292713 0.19892 0.153328837187348
499 0.980883806555982 0.198901305220884 0.157993475105539
500 0.980884162177482 0.20823 0.162738200970389
501 0.980884497379658 0.2082138 0.167562207883465
502 0.980884813334949 0.21633 0.172463751150816
503 0.980885111148473 0.216308167330677 0.177442051507092
504 0.9808853918619 0.22729 0.182496311647515
505 0.980885656457088 0.227273313492063 0.187625384091856
506 0.980885905859519 0.2357 0.192828049864238
507 0.980886140941537 0.235681897233202 0.198103018493136
508 0.980886362525398 0.24486 0.203448928011377
509 0.980886571386146 0.244841673228346 0.208864344956144
510 0.980886768254325 0.25417 0.214347764368972
511 0.98088695381853 0.25415 0.219897609795757
512 0.980887128727821 0.26437 0.2255138999895
513 0.980887293593989 0.2643526953125 0.231195264170093
514 0.980887448993697 0.27323 0.236939078709076
515 0.980887595470498 0.273211011673152 0.24274365207715
516 0.980887733536734 0.28299 0.248607231132318
517 0.98088786367533 0.282971085271318 0.254528001119886
