T,I,O
166,0.004653,0.0015
167,0.004846,0.001275
168,0.005048,0.00105
169,0.005257,0.001275
170,0.005475,0.0015
171,0.005703,0.001275
172,0.005939,0.00105
173,0.006186,0.001275
174,0.006442,0.0015
175,0.00671,0.0015
176,0.006988,0.0015
177,0.007277,0.001275
178,0.007579,0.00105
179,0.007893,0.00105
180,0.00822,0.00105
181,0.00856,0.00105
182,0.008915,0.00105
183,0.009284,0.00105
184,0.009668,0.00105
185,0.010068,0.001275
186,0.010484,0.0015
187,0.010917,0.0015
188,0.011368,0.0015
189,0.011837,0.0015
190,0.012326,0.0015
191,0.012834,0.001275
192,0.013363,0.00105
193,0.013914,0.001275
194,0.014486,0.0015
195,0.015083,0.001275
196,0.015703,0.00105
197,0.016348,0.00105
198,0.01702,0.00105
199,0.017718,0.00105
200,0.018445,0.00105
201,0.019201,0.00105
202,0.019987,0.00105
203,0.020805,0.001275
204,0.021656,0.0015
205,0.02254,0.0015
206,0.02346,0.0015
207,0.024416,0.0015
208,0.025411,0.0015
209,0.026444,0.001275
210,0.027519,0.00105
211,0.028636,0.00105
212,0.029797,0.00105
213,0.031003,0.001275
214,0.032257,0.0015
215,0.03356,0.0015
216,0.034913,0.0015
217,0.036319,0.0015
218,0.037779,0.0015
219,0.039295,0.001275
220,0.04087,0.00105
221,0.042505,0.001275
222,0.044202,0.0015
223,0.045964,0.001275
224,0.047792,0.00105
225,0.049689,0.00105
226,0.051657,0.00105
227,0.053699,0.001275
228,0.055817,0.0015
229,0.058013,0.001725
230,0.06029,0.00195
231,0.06265,0.0015
232,0.065096,0.00105
233,0.067631,0.001275
234,0.070256,0.0015
235,0.072976,0.001275
236,0.075792,0.00105
237,0.078707,0.00105
238,0.081724,0.00105
239,0.084846,0.00105
240,0.088076,0.00105
241,0.091416,0.001275
242,0.094869,0.0015
243,0.098438,0.0015
244,0.102127,0.0015
245,0.105936,0.0015
246,0.10987,0.0015
247,0.113932,0.001275
248,0.118122,0.00105
249,0.122446,0.00105
250,0.126904,0.00105
251,0.1315,0.001275
252,0.136236,0.0015
253,0.141114,0.0015
254,0.146136,0.0015
255,0.151305,0.0015
256,0.156622,0.0015
257,0.16209,0.0015
258,0.16771,0.0015
