t	O_12	O_10	O_8
494	0.99087	0.2837	0
496	1	0.31322	0
498	0.99478	0.3543	0
500	0.98305	0.3697	0
502	0.98074	0.40822	0
504	0.98331	0.44159	0
506	0.97818	0.4801	0
508	0.98588	0.52503	0
510	0.98845	0.55584	0
512	0.98331	0.58793	0
514	0.98588	0.62773	0
516	0.98845	0.66496	0
518	0.98845	0.70603	0
520	0.98331	0.73813	0
522	0.98845	0.76508	0
524	0.98845	0.78819	0
526	0.98588	0.82028	0
528	0.98588	0.85623	0
530	0.98588	0.87035	0
532	0.98845	0.89345	0
534	0.99487	0.91014	0
536	0.98588	0.92426	0
538	0.98588	0.94095	0
540	0.98331	0.9525	0
542	1	0.9525	0
544	1	0.96662	0
546	0.98845	0.96919	0
548	0.9923	0.98074	0
550	0.99743	0.98331	0
552	0.9923	0.97818	0
554	0.99487	0.98588	0
556	0.98074	0.98845	0
558	0.98331	0.98331	0
560	0.97818	0.98588	0
562	0.98588	0.98845	0
564	0.98845	0.98845	0.00927
566	0.98331	0.98331	0.00795
568	0.98588	0.98845	0.00927
570	0.98845	0.98845	0.01192
572	0.98845	0.98588	0.01192
574	0.98331	0.98588	0.01192
576	0.98845	0.98588	0.01722
578	0.98845	0.98845	0.01457
580	0.98588	0.99487	0.01722
582	0.98588	0.98588	0.01457
584	0.98588	0.98588	0.01722
586	0.98845	0.98331	0.02252
588	0.99487	1	0.02252
590	0.98588	1	0.02252
592	0.98588	0.98845	0.02781
594	0.98331	0.9923	0.03709
596	1	0.99743	0.03179
598	1	0.9923	0.03974
600	0.98845	0.99487	0.04238
602	0.9923	0.98074	0.03974
604	0.99743	0.98331	0.04768
606	0.9923	0.97818	0.05033
608	0.99487	0.98588	0.05033
610	0.98074	0.98845	0.05166
612	0.98331	0.98331	0.06225
614	0.97818	0.98588	0.0702
616	0.98588	0.98845	0.0702
618	0.98845	0.98845	0.07152
620	0.98331	0.98331	0.08212
622	0.98588	0.98845	0.09536
624	0.98845	0.98845	0.10993
626	0.98845	0.98588	0.11258
628	0.98331	0.98588	0.12715
630	0.98845	0.98588	0.14305
632	0.98845	0.98845	0.16291
634	0.98588	0.99487	0.17086
636	0.98588	0.98588	0.19073
638	0.98588	0.98588	0.20662
640	0.98845	0.98331	0.23974
642	0.99487	1	0.26358
644	0.98588	1	0.27947
646	0.98588	0.98845	0.30728
648	0.98331	0.9923	0.33642
650	1	0.99743	0.36291
652	1	0.9923	0.3947
654	0.98845	0.99487	0.42649
656	0.9923	0.98074	0.46623
658	0.99743	0.98331	0.49801
660	0.9923	0.97818	0.52848
662	0.99487	0.98588	0.58013
664	0.98074	0.98845	0.60795
666	0.98331	0.98331	0.64901
668	0.97818	0.98588	0.68212
670	0.98588	0.98845	0.72185
672	0.98845	0.98845	0.76159
674	0.98331	0.98331	0.77748
676	0.98588	0.98845	0.80397
678	0.98845	0.98845	0.84106
680	0.98845	0.98588	0.86358
682	0.98331	0.98588	0.88079
684	0.98845	0.98588	0.90993
686	0.98845	0.98845	0.91523
688	0.98588	0.99487	0.93907
690	0.98588	0.98588	0.94702
692	0.98588	0.98588	0.95099
694	0.98845	0.98331	0.96556
696	0.99487	1	0.97086
698	0.98588	1	0.97748
700	0.98588	0.98845	0.98278
702	0.98331	0.9923	0.98278
704	1	0.99743	0.98543
706	1	0.9923	0.98278
708	0.98845	0.99487	0.98543
710	0.9923	0.98074	0.99205
712	0.99743	0.98331	0.9947
714	0.9923	0.97818	0.99205
716	0.99487	0.98588	0.99735
718	0.98074	0.98845	0.9947
720	0.98331	0.98331	0.99735
722	0.97818	0.98588	0.99735
724	0.98588	0.98845	0.9947
726	0.98845	0.98845	1
728	0.98331	0.98331	0.99735
730	0.98588	0.98845	0.99735
732	0.98845	0.98845	0.98278
734	0.98845	0.98588	0.98543
736	0.98331	0.98588	0.99205
738	0.98845	0.98588	0.9947
740	0.98845	0.98845	0.99205
742	0.98588	0.99487	0.99735
744	0.98588	0.98588	0.9947
746	0.98588	0.98588	0.99735
748	0.98845	0.98331	0.99735
750	0.99487	1	0.9947
752	0.98588	1	1
754	0.98588	0.98845	0.99735
756	0.98331	0.9923	0.99735
758	1	0.99743	0.98278
760	1	0.9923	0.98543
762	0.98845	0.99487	0.99205
764	0.9923	0.98074	0.9947
766	0.99743	0.98331	0.99205
768	0.9923	0.97818	0.99735
770	0.99487	0.98588	0.9947
772	0.98074	0.98845	0.99735
774	0.98331	0.98331	0.99735
776	0.97818	0.98588	0.9947
778	0.98588	0.98845	1
780	0.98845	0.98845	0.99735
782	0.98331	0.98331	0.99735
784	0.98588	0.98845	0.98278
786	0.98845	0.98845	0.98543
788	0.98845	0.98588	0.99205
790	0.98331	0.98588	0.9947
792	0.98845	0.98588	0.99205
794	0.98845	0.98845	0.99735
796	0.98588	0.99487	0.9947
798	0.98588	0.98588	0.99735
800	0.98588	0.98588	0.99735
802	0.98845	0.98331	0.9947
804	0.99487	1	1
806	0.98588	1	0.99735
808	0.98588	0.98845	0.99735
810	0.98331	0.9923	0.98278
812	1	0.99743	0.98543
814	1	0.9923	0.99205
816	0.98845	0.99487	0.9947
818	0.9923	0.98074	0.99205
820	0.99743	0.98331	0.99735
822	0.9923	0.97818	0.9947
824	0.99487	0.98588	0.99735
826	0.98074	0.98845	0.99735
828	0.98331	0.98331	0.9947
830	0.97818	0.98588	1
832	0.98588	0.98845	0.99735
834	0.98845	0.98845	0.99735
836	0.98331	0.98331	0.98278
838	0.98588	0.98845	0.98543
840	0.98845	0.98845	0.99205
842	0.98845	0.98588	0.9947
844	0.98331	0.98588	0.99205
846	0.98845	0.98588	0.99735
848	0.98845	0.98845	0.9947
850	0.98588	0.99487	0.99735
852	0.98588	0.98588	0.99735
854	0.98588	0.98588	0.9947
856	0.98845	0.98331	1
858	0.99487	1	0.99735
860	0.98588	1	0.99735
862	0.98588	0.98845	0.98278
864	0.98331	0.9923	0.98543
866	1	0.99743	0.99205
868	1	0.9923	0.9947
870	0.98845	0.99487	0.99205
872	0.9923	0.98074	0.99735
874	0.99743	0.98331	0.9947
876	0.9923	0.97818	0.99735
878	0.99487	0.98588	0.99735
880	0.98074	0.98845	0.9947
882	0.98331	0.98331	1
884	0.97818	0.98588	1
886	0.98588	0.98845	1
888	0.98845	0.98845	1
890	0.98331	0.98331	1
892	0.98588	0.98845	1
894	0.98845	0.98845	1
896	1	0.98588	1
898	1	0.98588	1
900	1	0.98588	1
902	1	1	1
904	1	1	1
906	1	1	1
908	1	1	1
910	1	1	1
912	1	1	1
914	1	1	1
916	1	1	1
918	1	1	1
920	1	1	1
922	1	1	1
924	1	1	1
926	1	1	1
928	1	1	1
930	1	1	1
932	1	1	1
934	1	1	1
936	1	1	1
938	1	1	1
940	1	1	1
942	1	1	1
944	1	1	1
946	1	1	1
948	1	1	1
950	1	1	1
952	1	1	1
954	1	1	1
956	1	1	1
958	1	1	1
960	1	1	1
962	1	1	1
964	1	1	1
966	1	1	1
968	1	1	1
970	1	1	1
972	1	1	1
974	1	1	1
976	1	1	1
978	1	1	1
980	1	1	1
982	1	1	1
984	1	1	1
986	1	1	1
988	1	1	1
990	1	1	1
992	1	1	1
994	1	1	1
996	1	1	1
998	1	1	1
1000	1	1	1
